date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-02-01 00:00:00,35,18,0.0,11.1,7,1,07:31 AM,06:39 PM,07:20 AM,06:27 PM,12,21,21,21,14,0,57,0.0,1011,21,10,306,6,ahmedabad
2022-02-01 03:00:00,35,18,0.0,11.1,7,1,07:31 AM,06:39 PM,07:20 AM,06:27 PM,12,19,19,19,15,0,64,0.0,1011,19,10,307,7,ahmedabad
2022-02-01 06:00:00,35,18,0.0,11.1,7,1,07:31 AM,06:39 PM,07:20 AM,06:27 PM,13,18,18,18,12,0,72,0.0,1011,18,10,322,6,ahmedabad
2022-02-01 09:00:00,35,18,0.0,11.1,7,1,07:31 AM,06:39 PM,07:20 AM,06:27 PM,14,25,25,23,3,0,58,0.0,1013,23,10,298,3,ahmedabad
2022-02-01 12:00:00,35,18,0.0,11.1,7,1,07:31 AM,06:39 PM,07:20 AM,06:27 PM,15,32,32,32,10,0,35,0.0,1012,32,10,264,9,ahmedabad
2022-02-01 15:00:00,35,18,0.0,11.1,7,1,07:31 AM,06:39 PM,07:20 AM,06:27 PM,12,34,34,35,14,0,24,0.0,1008,35,10,284,13,ahmedabad
2022-02-01 18:00:00,35,18,0.0,11.1,7,1,07:31 AM,06:39 PM,07:20 AM,06:27 PM,9,26,26,27,28,0,32,0.0,1009,27,10,286,14,ahmedabad
2022-02-01 21:00:00,35,18,0.0,11.1,7,1,07:31 AM,06:39 PM,07:20 AM,06:27 PM,9,24,24,23,26,0,40,0.0,1011,23,10,310,13,ahmedabad
2022-02-02 00:00:00,35,18,0.0,11.1,7,6,08:19 AM,07:44 PM,07:19 AM,06:27 PM,9,21,21,21,24,0,47,0.0,1011,21,10,330,12,ahmedabad
2022-02-02 03:00:00,35,18,0.0,11.1,7,6,08:19 AM,07:44 PM,07:19 AM,06:27 PM,8,19,19,19,17,0,47,0.0,1010,19,10,360,8,ahmedabad
2022-02-02 06:00:00,35,18,0.0,11.1,7,6,08:19 AM,07:44 PM,07:19 AM,06:27 PM,6,18,18,18,13,0,44,0.0,1011,18,10,25,6,ahmedabad
2022-02-02 09:00:00,35,18,0.0,11.1,7,6,08:19 AM,07:44 PM,07:19 AM,06:27 PM,6,24,24,23,7,0,33,0.0,1013,23,10,53,5,ahmedabad
2022-02-02 12:00:00,35,18,0.0,11.1,7,6,08:19 AM,07:44 PM,07:19 AM,06:27 PM,7,31,31,33,3,0,20,0.0,1012,33,10,313,2,ahmedabad
2022-02-02 15:00:00,35,18,0.0,11.1,7,6,08:19 AM,07:44 PM,07:19 AM,06:27 PM,4,33,33,35,13,0,15,0.0,1008,35,10,261,11,ahmedabad
2022-02-02 18:00:00,35,18,0.0,11.1,7,6,08:19 AM,07:44 PM,07:19 AM,06:27 PM,5,27,27,29,17,0,22,0.0,1009,29,10,263,9,ahmedabad
2022-02-02 21:00:00,35,18,0.0,11.1,7,6,08:19 AM,07:44 PM,07:19 AM,06:27 PM,3,24,24,24,14,0,26,0.0,1011,24,10,316,6,ahmedabad
2022-02-03 00:00:00,32,17,0.0,11.1,7,13,09:01 AM,08:45 PM,07:19 AM,06:28 PM,6,20,20,20,24,0,39,0.0,1010,20,10,228,12,ahmedabad
2022-02-03 03:00:00,32,17,0.0,11.1,7,13,09:01 AM,08:45 PM,07:19 AM,06:28 PM,12,18,18,18,27,0,66,0.0,1008,18,10,272,13,ahmedabad
2022-02-03 06:00:00,32,17,0.0,11.1,7,13,09:01 AM,08:45 PM,07:19 AM,06:28 PM,14,17,17,17,26,0,84,0.0,1008,17,10,268,13,ahmedabad
2022-02-03 09:00:00,32,17,0.0,11.1,7,13,09:01 AM,08:45 PM,07:19 AM,06:28 PM,16,22,25,22,22,8,70,0.0,1010,22,10,284,19,ahmedabad
2022-02-03 12:00:00,32,17,0.0,11.1,7,13,09:01 AM,08:45 PM,07:19 AM,06:28 PM,7,29,29,31,21,0,23,0.0,1008,31,10,290,18,ahmedabad
2022-02-03 15:00:00,32,17,0.0,11.1,7,13,09:01 AM,08:45 PM,07:19 AM,06:28 PM,0,30,30,32,28,0,13,0.0,1006,32,10,290,24,ahmedabad
2022-02-03 18:00:00,32,17,0.0,11.1,7,13,09:01 AM,08:45 PM,07:19 AM,06:28 PM,0,25,25,27,22,0,18,0.0,1007,27,10,283,19,ahmedabad
2022-02-03 21:00:00,32,17,0.0,11.1,7,13,09:01 AM,08:45 PM,07:19 AM,06:28 PM,-1,19,19,19,28,0,27,0.0,1010,19,10,317,13,ahmedabad
2022-02-04 00:00:00,31,14,0.0,11.1,6,20,09:39 AM,09:43 PM,07:18 AM,06:29 PM,-1,17,17,17,24,0,30,0.0,1010,17,10,331,12,ahmedabad
2022-02-04 03:00:00,31,14,0.0,11.1,6,20,09:39 AM,09:43 PM,07:18 AM,06:29 PM,-1,15,15,15,17,0,33,0.0,1009,15,10,21,8,ahmedabad
2022-02-04 06:00:00,31,14,0.0,11.1,6,20,09:39 AM,09:43 PM,07:18 AM,06:29 PM,-2,14,14,14,14,0,34,0.0,1009,14,10,66,6,ahmedabad
2022-02-04 09:00:00,31,14,0.0,11.1,6,20,09:39 AM,09:43 PM,07:18 AM,06:29 PM,-2,20,20,20,6,0,23,0.0,1012,20,10,101,5,ahmedabad
2022-02-04 12:00:00,31,14,0.0,11.1,6,20,09:39 AM,09:43 PM,07:18 AM,06:29 PM,-3,27,27,29,3,0,13,0.0,1011,29,10,309,3,ahmedabad
2022-02-04 15:00:00,31,14,0.0,11.1,6,20,09:39 AM,09:43 PM,07:18 AM,06:29 PM,-5,29,29,31,8,0,10,0.0,1008,31,10,279,7,ahmedabad
2022-02-04 18:00:00,31,14,0.0,11.1,6,20,09:39 AM,09:43 PM,07:18 AM,06:29 PM,-3,25,25,26,13,0,14,0.0,1009,26,10,277,9,ahmedabad
2022-02-04 21:00:00,31,14,0.0,11.1,6,20,09:39 AM,09:43 PM,07:18 AM,06:29 PM,-5,20,20,20,13,0,18,0.0,1011,20,10,352,6,ahmedabad
2022-02-05 00:00:00,33,15,0.0,11.1,7,26,10:14 AM,10:38 PM,07:18 AM,06:29 PM,-5,18,18,18,14,0,21,0.0,1011,18,10,84,6,ahmedabad
2022-02-05 03:00:00,33,15,0.0,11.1,7,26,10:14 AM,10:38 PM,07:18 AM,06:29 PM,-5,16,16,16,3,0,24,0.0,1010,16,10,173,1,ahmedabad
2022-02-05 06:00:00,33,15,0.0,11.1,7,26,10:14 AM,10:38 PM,07:18 AM,06:29 PM,-5,14,15,14,20,0,26,0.0,1011,15,10,80,9,ahmedabad
2022-02-05 09:00:00,33,15,0.0,11.1,7,26,10:14 AM,10:38 PM,07:18 AM,06:29 PM,-4,20,20,20,14,0,19,0.0,1013,20,10,93,12,ahmedabad
2022-02-05 12:00:00,33,15,0.0,11.1,7,26,10:14 AM,10:38 PM,07:18 AM,06:29 PM,-3,28,28,30,12,0,12,0.0,1012,30,10,127,10,ahmedabad
2022-02-05 15:00:00,33,15,0.0,11.1,7,26,10:14 AM,10:38 PM,07:18 AM,06:29 PM,-4,31,31,33,8,0,9,0.0,1009,33,10,186,7,ahmedabad
