date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-04-13 00:00:00,39,23,0.0,11.6,7,80,03:39 PM,03:41 AM,06:08 AM,06:32 PM,17,27,27,26,26,100,56,0.0,1007,26,10,112,18,bangalore
2022-04-13 03:00:00,39,23,0.0,11.6,7,80,03:39 PM,03:41 AM,06:08 AM,06:32 PM,18,26,26,24,17,3,67,0.0,1006,24,10,137,10,bangalore
2022-04-13 06:00:00,39,23,0.0,11.6,7,80,03:39 PM,03:41 AM,06:08 AM,06:32 PM,18,25,25,23,14,17,71,0.0,1008,23,10,178,9,bangalore
2022-04-13 09:00:00,39,23,0.0,11.6,7,80,03:39 PM,03:41 AM,06:08 AM,06:32 PM,14,29,29,29,13,8,40,0.0,1009,29,10,175,12,bangalore
2022-04-13 12:00:00,39,23,0.0,11.6,7,80,03:39 PM,03:41 AM,06:08 AM,06:32 PM,9,38,38,38,18,4,17,0.0,1006,38,10,102,15,bangalore
2022-04-13 15:00:00,39,23,0.0,11.6,7,80,03:39 PM,03:41 AM,06:08 AM,06:32 PM,10,38,38,39,27,5,18,0.0,1003,39,10,104,23,bangalore
2022-04-13 18:00:00,39,23,0.0,11.6,7,80,03:39 PM,03:41 AM,06:08 AM,06:32 PM,9,32,32,34,27,5,22,0.0,1005,34,10,119,23,bangalore
2022-04-13 21:00:00,39,23,0.0,11.6,7,80,03:39 PM,03:41 AM,06:08 AM,06:32 PM,11,29,29,30,27,8,31,0.0,1008,30,10,105,18,bangalore
2022-04-14 00:00:00,37,23,0.0,11.6,8,87,04:31 PM,04:21 AM,06:08 AM,06:32 PM,17,27,27,26,18,7,58,0.0,1008,26,10,166,12,bangalore
2022-04-14 03:00:00,37,23,0.0,11.6,8,87,04:31 PM,04:21 AM,06:08 AM,06:32 PM,20,25,25,24,14,12,79,0.0,1007,24,10,216,10,bangalore
2022-04-14 06:00:00,37,23,0.0,11.6,8,87,04:31 PM,04:21 AM,06:08 AM,06:32 PM,20,25,25,23,13,26,86,0.0,1009,23,10,238,9,bangalore
2022-04-14 09:00:00,37,23,0.0,11.6,8,87,04:31 PM,04:21 AM,06:08 AM,06:32 PM,18,28,28,27,12,46,56,0.0,1010,27,10,255,10,bangalore
2022-04-14 12:00:00,37,23,0.0,11.6,8,87,04:31 PM,04:21 AM,06:08 AM,06:32 PM,10,33,33,35,9,49,22,0.0,1007,35,10,100,8,bangalore
2022-04-14 15:00:00,37,23,0.0,11.6,8,87,04:31 PM,04:21 AM,06:08 AM,06:32 PM,8,36,36,37,21,22,17,0.0,1003,37,10,79,18,bangalore
2022-04-14 18:00:00,37,23,0.0,11.6,8,87,04:31 PM,04:21 AM,06:08 AM,06:32 PM,13,31,31,32,22,45,32,0.0,1005,32,10,148,17,bangalore
2022-04-14 21:00:00,37,23,0.0,11.6,8,87,04:31 PM,04:21 AM,06:08 AM,06:32 PM,18,28,28,27,18,88,57,0.1,1011,27,10,216,15,bangalore
2022-04-15 00:00:00,35,22,0.0,10.2,6,94,05:23 PM,05:02 AM,06:07 AM,06:32 PM,17,26,26,25,20,69,64,0.0,1010,25,10,229,15,bangalore
2022-04-15 03:00:00,35,22,0.0,10.2,6,94,05:23 PM,05:02 AM,06:07 AM,06:32 PM,20,25,25,23,19,38,80,0.0,1009,23,10,235,14,bangalore
2022-04-15 06:00:00,35,22,0.0,10.2,6,94,05:23 PM,05:02 AM,06:07 AM,06:32 PM,20,25,25,22,21,100,85,0.0,1010,22,10,235,16,bangalore
2022-04-15 09:00:00,35,22,0.0,10.2,6,94,05:23 PM,05:02 AM,06:07 AM,06:32 PM,17,29,29,28,17,45,54,0.0,1011,28,10,257,15,bangalore
2022-04-15 12:00:00,35,22,0.0,10.2,6,94,05:23 PM,05:02 AM,06:07 AM,06:32 PM,14,35,35,35,9,28,29,0.0,1008,35,10,311,8,bangalore
2022-04-15 15:00:00,35,22,0.0,10.2,6,94,05:23 PM,05:02 AM,06:07 AM,06:32 PM,13,32,32,33,8,54,30,0.1,1005,33,10,178,6,bangalore
2022-04-15 18:00:00,35,22,0.0,10.2,6,94,05:23 PM,05:02 AM,06:07 AM,06:32 PM,15,28,28,28,2,73,47,0.1,1007,28,10,213,1,bangalore
2022-04-15 21:00:00,35,22,0.0,10.2,6,94,05:23 PM,05:02 AM,06:07 AM,06:32 PM,16,26,26,25,19,79,57,0.0,1010,25,10,279,13,bangalore
2022-04-16 00:00:00,36,22,0.0,11.6,8,100,06:17 PM,05:43 AM,06:07 AM,06:32 PM,15,25,25,24,6,11,58,0.0,1009,24,10,252,4,bangalore
2022-04-16 03:00:00,36,22,0.0,11.6,8,100,06:17 PM,05:43 AM,06:07 AM,06:32 PM,15,25,25,24,13,6,59,0.0,1007,24,10,272,8,bangalore
2022-04-16 06:00:00,36,22,0.0,11.6,8,100,06:17 PM,05:43 AM,06:07 AM,06:32 PM,15,25,25,22,17,9,64,0.0,1009,22,10,230,9,bangalore
2022-04-16 09:00:00,36,22,0.0,11.6,8,100,06:17 PM,05:43 AM,06:07 AM,06:32 PM,14,27,27,27,12,4,44,0.0,1010,27,10,234,10,bangalore
2022-04-16 12:00:00,36,22,0.0,11.6,8,100,06:17 PM,05:43 AM,06:07 AM,06:32 PM,15,35,35,35,7,4,31,0.0,1007,35,10,200,6,bangalore
2022-04-16 15:00:00,36,22,0.0,11.6,8,100,06:17 PM,05:43 AM,06:07 AM,06:32 PM,13,36,36,36,6,12,25,0.0,1004,36,10,91,6,bangalore
2022-04-16 18:00:00,36,22,0.0,11.6,8,100,06:17 PM,05:43 AM,06:07 AM,06:32 PM,14,32,32,33,3,10,32,0.0,1005,33,10,305,3,bangalore
2022-04-16 21:00:00,36,22,0.0,11.6,8,100,06:17 PM,05:43 AM,06:07 AM,06:32 PM,18,28,28,27,24,14,58,0.0,1009,27,10,225,21,bangalore
2022-04-17 00:00:00,35,24,0.0,8.9,7,93,07:14 PM,06:25 AM,06:06 AM,06:32 PM,15,27,27,27,12,20,49,0.0,1008,27,10,304,9,bangalore
2022-04-17 03:00:00,35,24,0.0,8.9,7,93,07:14 PM,06:25 AM,06:06 AM,06:32 PM,15,27,27,26,15,14,52,0.0,1007,26,10,350,11,bangalore
2022-04-17 06:00:00,35,24,0.0,8.9,7,93,07:14 PM,06:25 AM,06:06 AM,06:32 PM,16,26,26,25,9,89,58,0.1,1008,25,10,12,7,bangalore
2022-04-17 09:00:00,35,24,0.0,8.9,7,93,07:14 PM,06:25 AM,06:06 AM,06:32 PM,15,30,30,30,13,10,41,0.0,1009,30,10,143,11,bangalore
2022-04-17 12:00:00,35,24,0.0,8.9,7,93,07:14 PM,06:25 AM,06:06 AM,06:32 PM,14,35,35,35,11,27,28,0.0,1006,35,10,144,10,bangalore
2022-04-17 15:00:00,35,24,0.0,8.9,7,93,07:14 PM,06:25 AM,06:06 AM,06:32 PM,15,30,30,29,22,78,43,0.2,1005,29,9,324,17,bangalore
2022-04-17 18:00:00,35,24,0.0,8.9,7,93,07:14 PM,06:25 AM,06:06 AM,06:32 PM,17,27,27,26,22,81,60,0.9,1007,26,9,223,17,bangalore
2022-04-17 21:00:00,35,24,0.0,8.9,7,93,07:14 PM,06:25 AM,06:06 AM,06:32 PM,18,26,26,24,35,82,68,0.7,1009,24,9,135,22,bangalore
2022-04-18 00:00:00,35,23,0.0,10.2,7,86,08:13 PM,07:11 AM,06:06 AM,06:32 PM,17,26,26,24,13,88,66,0.1,1010,24,10,124,10,bangalore
2022-04-18 03:00:00,35,23,0.0,10.2,7,86,08:13 PM,07:11 AM,06:06 AM,06:32 PM,17,26,26,24,14,22,64,0.0,1008,24,10,280,10,bangalore
2022-04-18 06:00:00,35,23,0.0,10.2,7,86,08:13 PM,07:11 AM,06:06 AM,06:32 PM,17,25,25,23,13,46,67,0.0,1010,23,10,240,9,bangalore
2022-04-18 09:00:00,35,23,0.0,10.2,7,86,08:13 PM,07:11 AM,06:06 AM,06:32 PM,15,28,28,28,11,28,46,0.0,1011,28,10,302,10,bangalore
2022-04-18 12:00:00,35,23,0.0,10.2,7,86,08:13 PM,07:11 AM,06:06 AM,06:32 PM,14,34,34,35,7,19,29,0.0,1009,35,10,25,6,bangalore
2022-04-18 15:00:00,35,23,0.0,10.2,7,86,08:13 PM,07:11 AM,06:06 AM,06:32 PM,13,33,33,34,10,86,28,0.1,1006,34,10,49,9,bangalore
2022-04-18 18:00:00,35,23,0.0,10.2,7,86,08:13 PM,07:11 AM,06:06 AM,06:32 PM,16,32,32,31,13,12,39,0.0,1008,31,10,118,11,bangalore
2022-04-18 21:00:00,35,23,0.0,10.2,7,86,08:13 PM,07:11 AM,06:06 AM,06:32 PM,16,28,28,27,6,72,53,0.3,1012,27,9,208,5,bangalore
2022-04-19 00:00:00,37,25,0.0,10.2,8,79,09:17 PM,08:01 AM,06:05 AM,06:33 PM,16,28,28,28,7,12,49,0.0,1011,28,10,246,6,bangalore
2022-04-19 03:00:00,37,25,0.0,10.2,8,79,09:17 PM,08:01 AM,06:05 AM,06:33 PM,16,27,27,26,10,21,53,0.0,1009,26,10,260,7,bangalore
2022-04-19 06:00:00,37,25,0.0,10.2,8,79,09:17 PM,08:01 AM,06:05 AM,06:33 PM,16,26,26,25,11,15,58,0.0,1011,25,10,281,8,bangalore
2022-04-19 09:00:00,37,25,0.0,10.2,8,79,09:17 PM,08:01 AM,06:05 AM,06:33 PM,15,29,29,29,5,16,42,0.0,1012,29,10,335,4,bangalore
2022-04-19 12:00:00,37,25,0.0,10.2,8,79,09:17 PM,08:01 AM,06:05 AM,06:33 PM,14,37,37,37,12,12,26,0.0,1009,37,10,59,10,bangalore
2022-04-19 15:00:00,37,25,0.0,10.2,8,79,09:17 PM,08:01 AM,06:05 AM,06:33 PM,10,34,34,35,17,15,22,0.0,1006,35,10,83,14,bangalore
2022-04-19 18:00:00,37,25,0.0,10.2,8,79,09:17 PM,08:01 AM,06:05 AM,06:33 PM,13,31,31,31,10,76,34,0.3,1008,31,9,25,7,bangalore
2022-04-19 21:00:00,37,25,0.0,10.2,8,79,09:17 PM,08:01 AM,06:05 AM,06:33 PM,16,28,28,27,15,82,49,0.6,1012,27,9,63,10,bangalore
2022-04-20 00:00:00,40,25,0.0,11.6,8,72,10:21 PM,08:57 AM,06:04 AM,06:33 PM,15,29,29,29,12,6,43,0.0,1010,29,10,146,8,bangalore
2022-04-20 03:00:00,40,25,0.0,11.6,8,72,10:21 PM,08:57 AM,06:04 AM,06:33 PM,16,27,27,26,10,6,55,0.0,1009,26,10,196,7,bangalore
2022-04-20 06:00:00,40,25,0.0,11.6,8,72,10:21 PM,08:57 AM,06:04 AM,06:33 PM,17,27,27,25,9,4,61,0.0,1011,25,10,213,6,bangalore
2022-04-20 09:00:00,40,25,0.0,11.6,8,72,10:21 PM,08:57 AM,06:04 AM,06:33 PM,16,30,30,30,6,4,42,0.0,1011,30,10,287,6,bangalore
2022-04-20 12:00:00,40,25,0.0,11.6,8,72,10:21 PM,08:57 AM,06:04 AM,06:33 PM,13,37,37,38,9,7,23,0.0,1008,38,10,71,8,bangalore
2022-04-20 15:00:00,40,25,0.0,11.6,8,72,10:21 PM,08:57 AM,06:04 AM,06:33 PM,11,40,40,40,18,6,17,0.0,1004,40,10,94,15,bangalore
2022-04-20 18:00:00,40,25,0.0,11.6,8,72,10:21 PM,08:57 AM,06:04 AM,06:33 PM,9,33,33,35,19,11,20,0.0,1005,35,10,66,14,bangalore
2022-04-20 21:00:00,40,25,0.0,11.6,8,72,10:21 PM,08:57 AM,06:04 AM,06:33 PM,12,31,31,32,21,7,30,0.0,1009,32,10,138,15,bangalore
2022-04-21 00:00:00,39,25,0.0,11.6,8,66,11:26 PM,09:57 AM,06:04 AM,06:33 PM,14,29,29,29,18,4,40,0.0,1008,29,10,155,12,bangalore
2022-04-21 03:00:00,39,25,0.0,11.6,8,66,11:26 PM,09:57 AM,06:04 AM,06:33 PM,18,27,27,26,14,4,59,0.0,1007,26,10,176,10,bangalore
2022-04-21 06:00:00,39,25,0.0,11.6,8,66,11:26 PM,09:57 AM,06:04 AM,06:33 PM,19,27,27,25,13,3,70,0.0,1009,25,10,183,9,bangalore
2022-04-21 09:00:00,39,25,0.0,11.6,8,66,11:26 PM,09:57 AM,06:04 AM,06:33 PM,17,31,31,30,13,2,48,0.0,1010,30,10,204,11,bangalore
2022-04-21 12:00:00,39,25,0.0,11.6,8,66,11:26 PM,09:57 AM,06:04 AM,06:33 PM,15,38,38,38,9,9,26,0.0,1007,38,10,114,8,bangalore
2022-04-21 15:00:00,39,25,0.0,11.6,8,66,11:26 PM,09:57 AM,06:04 AM,06:33 PM,12,39,39,39,21,5,20,0.0,1004,39,10,115,18,bangalore
2022-04-21 18:00:00,39,25,0.0,11.6,8,66,11:26 PM,09:57 AM,06:04 AM,06:33 PM,11,34,34,36,27,4,22,0.0,1005,36,10,120,24,bangalore
2022-04-21 21:00:00,39,25,0.0,11.6,8,66,11:26 PM,09:57 AM,06:04 AM,06:33 PM,13,30,30,31,24,4,33,0.0,1008,31,10,139,18,bangalore
2022-04-22 00:00:00,39,24,0.0,11.6,8,59,No moonrise,11:00 AM,06:03 AM,06:33 PM,14,28,28,28,26,3,42,0.0,1009,28,10,135,17,bangalore
