date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-04-13 00:00:00,43,29,0.0,11.6,9,80,03:32 PM,03:43 AM,06:02 AM,06:32 PM,14,31,31,31,21,4,34,0.0,1005,31,10,146,12,hyderabad
2022-04-13 03:00:00,43,29,0.0,11.6,9,80,03:32 PM,03:43 AM,06:02 AM,06:32 PM,14,30,30,30,16,3,37,0.0,1003,30,10,186,9,hyderabad
2022-04-13 06:00:00,43,29,0.0,11.6,9,80,03:32 PM,03:43 AM,06:02 AM,06:32 PM,15,29,29,29,18,4,44,0.0,1006,29,10,196,11,hyderabad
2022-04-13 09:00:00,43,29,0.0,11.6,9,80,03:32 PM,03:43 AM,06:02 AM,06:32 PM,11,34,34,35,21,3,24,0.0,1007,35,10,221,18,hyderabad
2022-04-13 12:00:00,43,29,0.0,11.6,9,80,03:32 PM,03:43 AM,06:02 AM,06:32 PM,13,43,43,42,9,11,18,0.0,1005,42,10,204,8,hyderabad
2022-04-13 15:00:00,43,29,0.0,11.6,9,80,03:32 PM,03:43 AM,06:02 AM,06:32 PM,10,45,45,43,13,3,15,0.0,1002,43,10,139,11,hyderabad
2022-04-13 18:00:00,43,29,0.0,11.6,9,80,03:32 PM,03:43 AM,06:02 AM,06:32 PM,10,38,38,39,10,15,18,0.0,1003,39,10,355,9,hyderabad
2022-04-13 21:00:00,43,29,0.0,11.6,9,80,03:32 PM,03:43 AM,06:02 AM,06:32 PM,10,34,34,35,25,12,22,0.0,1006,35,10,144,17,hyderabad
2022-04-14 00:00:00,42,29,0.0,11.6,9,87,04:25 PM,04:21 AM,06:01 AM,06:32 PM,14,30,30,30,18,4,37,0.0,1006,30,10,166,12,hyderabad
2022-04-14 03:00:00,42,29,0.0,11.6,9,87,04:25 PM,04:21 AM,06:01 AM,06:32 PM,13,29,29,29,18,7,38,0.0,1005,29,10,172,11,hyderabad
2022-04-14 06:00:00,42,29,0.0,11.6,9,87,04:25 PM,04:21 AM,06:01 AM,06:32 PM,12,29,29,30,23,31,35,0.0,1005,30,10,206,14,hyderabad
2022-04-14 09:00:00,42,29,0.0,11.6,9,87,04:25 PM,04:21 AM,06:01 AM,06:32 PM,11,33,33,34,15,6,25,0.0,1008,34,10,242,13,hyderabad
