date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-02-01 00:00:00,31,17,0.0,8.7,6,1,06:24 AM,05:34 PM,06:16 AM,05:25 PM,12,18,18,18,17,2,64,0.0,1011,18,10,201,8,kolkata
2022-02-01 03:00:00,31,17,0.0,8.7,6,1,06:24 AM,05:34 PM,06:16 AM,05:25 PM,12,17,17,17,10,3,73,0.0,1010,17,10,302,5,kolkata
2022-02-01 06:00:00,31,17,0.0,8.7,6,1,06:24 AM,05:34 PM,06:16 AM,05:25 PM,12,17,17,17,5,2,74,0.0,1011,17,10,15,3,kolkata
2022-02-01 09:00:00,31,17,0.0,8.7,6,1,06:24 AM,05:34 PM,06:16 AM,05:25 PM,14,25,25,23,9,22,59,0.0,1012,23,10,201,8,kolkata
2022-02-01 12:00:00,31,17,0.0,8.7,6,1,06:24 AM,05:34 PM,06:16 AM,05:25 PM,13,30,30,31,16,5,35,0.0,1009,31,10,256,14,kolkata
2022-02-01 15:00:00,31,17,0.0,8.7,6,1,06:24 AM,05:34 PM,06:16 AM,05:25 PM,8,27,27,29,19,6,28,0.0,1007,29,10,288,17,kolkata
2022-02-01 18:00:00,31,17,0.0,8.7,6,1,06:24 AM,05:34 PM,06:16 AM,05:25 PM,8,25,25,26,13,2,33,0.0,1009,26,10,321,9,kolkata
2022-02-01 21:00:00,31,17,0.0,8.7,6,1,06:24 AM,05:34 PM,06:16 AM,05:25 PM,10,22,24,22,12,3,46,0.0,1010,22,10,194,6,kolkata
2022-02-02 00:00:00,31,17,0.0,8.7,7,6,07:14 AM,06:39 PM,06:15 AM,05:26 PM,14,20,20,20,14,4,71,0.0,1010,20,10,277,7,kolkata
2022-02-02 03:00:00,31,17,0.0,8.7,7,6,07:14 AM,06:39 PM,06:15 AM,05:26 PM,8,18,18,18,20,5,52,0.0,1010,18,10,14,10,kolkata
2022-02-02 06:00:00,31,17,0.0,8.7,7,6,07:14 AM,06:39 PM,06:15 AM,05:26 PM,6,17,17,17,21,0,48,0.0,1012,17,10,38,10,kolkata
2022-02-02 09:00:00,31,17,0.0,8.7,7,6,07:14 AM,06:39 PM,06:15 AM,05:26 PM,6,24,24,24,10,0,33,0.0,1014,24,10,59,9,kolkata
2022-02-02 12:00:00,31,17,0.0,8.7,7,6,07:14 AM,06:39 PM,06:15 AM,05:26 PM,6,28,28,30,3,0,22,0.0,1012,30,10,344,2,kolkata
2022-02-02 15:00:00,31,17,0.0,8.7,7,6,07:14 AM,06:39 PM,06:15 AM,05:26 PM,6,29,29,31,9,3,21,0.0,1010,31,10,310,8,kolkata
2022-02-02 18:00:00,31,17,0.0,8.7,7,6,07:14 AM,06:39 PM,06:15 AM,05:26 PM,7,25,25,26,14,3,30,0.0,1011,26,10,348,10,kolkata
2022-02-02 21:00:00,31,17,0.0,8.7,7,6,07:14 AM,06:39 PM,06:15 AM,05:26 PM,8,22,24,22,13,3,42,0.0,1013,22,10,90,7,kolkata
2022-02-03 00:00:00,32,17,0.0,8.7,7,13,07:56 AM,07:40 PM,06:15 AM,05:26 PM,9,20,20,20,19,5,50,0.0,1012,20,10,62,10,kolkata
