date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-04-13 00:00:00,42,26,0.0,11.6,9,80,03:49 PM,04:03 AM,06:19 AM,06:51 PM,6,27,27,28,13,2,25,0.0,1007,28,10,267,8,pune
2022-04-13 03:00:00,42,26,0.0,11.6,9,80,03:49 PM,04:03 AM,06:19 AM,06:51 PM,5,26,26,27,15,2,24,0.0,1005,27,10,289,10,pune
2022-04-13 06:00:00,42,26,0.0,11.6,9,80,03:49 PM,04:03 AM,06:19 AM,06:51 PM,6,25,25,26,14,2,28,0.0,1007,26,10,286,8,pune
2022-04-13 09:00:00,42,26,0.0,11.6,9,80,03:49 PM,04:03 AM,06:19 AM,06:51 PM,5,30,30,32,10,2,18,0.0,1008,32,10,332,9,pune
2022-04-13 12:00:00,42,26,0.0,11.6,9,80,03:49 PM,04:03 AM,06:19 AM,06:51 PM,8,41,41,41,8,3,14,0.0,1006,41,10,30,7,pune
2022-04-13 15:00:00,42,26,0.0,11.6,9,80,03:49 PM,04:03 AM,06:19 AM,06:51 PM,8,43,43,42,5,0,13,0.0,1003,42,10,324,4,pune
2022-04-13 18:00:00,42,26,0.0,11.6,9,80,03:49 PM,04:03 AM,06:19 AM,06:51 PM,11,35,35,36,23,2,22,0.0,1004,36,10,304,20,pune
2022-04-13 21:00:00,42,26,0.0,11.6,9,80,03:49 PM,04:03 AM,06:19 AM,06:51 PM,12,29,29,30,18,2,33,0.0,1008,30,10,267,11,pune
2022-04-14 00:00:00,41,25,0.0,11.6,8,87,04:43 PM,04:41 AM,06:19 AM,06:51 PM,7,26,26,28,18,3,27,0.0,1007,28,10,278,9,pune
2022-04-14 03:00:00,41,25,0.0,11.6,8,87,04:43 PM,04:41 AM,06:19 AM,06:51 PM,4,25,25,26,21,4,25,0.0,1006,26,10,283,10,pune
2022-04-14 06:00:00,41,25,0.0,11.6,8,87,04:43 PM,04:41 AM,06:19 AM,06:51 PM,6,25,25,25,18,7,30,0.0,1008,25,10,281,9,pune
2022-04-14 09:00:00,41,25,0.0,11.6,8,87,04:43 PM,04:41 AM,06:19 AM,06:51 PM,5,30,30,32,11,5,18,0.0,1010,32,10,319,10,pune
2022-04-14 12:00:00,41,25,0.0,11.6,8,87,04:43 PM,04:41 AM,06:19 AM,06:51 PM,8,41,41,40,15,8,14,0.0,1007,40,10,327,13,pune
2022-04-14 15:00:00,41,25,0.0,11.6,8,87,04:43 PM,04:41 AM,06:19 AM,06:51 PM,9,42,42,41,27,5,15,0.0,1004,41,10,309,24,pune
2022-04-14 18:00:00,41,25,0.0,11.6,8,87,04:43 PM,04:41 AM,06:19 AM,06:51 PM,13,34,34,35,30,4,27,0.0,1005,35,10,305,26,pune
2022-04-14 21:00:00,41,25,0.0,11.6,8,87,04:43 PM,04:41 AM,06:19 AM,06:51 PM,16,29,29,28,18,3,47,0.0,1008,28,10,284,12,pune
2022-04-15 00:00:00,40,23,0.0,11.6,8,94,05:39 PM,05:18 AM,06:18 AM,06:51 PM,9,26,26,26,23,2,34,0.0,1008,26,10,265,12,pune
2022-04-15 03:00:00,40,23,0.0,11.6,8,94,05:39 PM,05:18 AM,06:18 AM,06:51 PM,7,25,25,24,20,2,32,0.0,1008,24,10,267,10,pune
2022-04-15 06:00:00,40,23,0.0,11.6,8,94,05:39 PM,05:18 AM,06:18 AM,06:51 PM,11,25,25,23,19,3,46,0.0,1010,23,10,238,10,pune
2022-04-15 09:00:00,40,23,0.0,11.6,8,94,05:39 PM,05:18 AM,06:18 AM,06:51 PM,6,29,29,31,15,3,20,0.0,1011,31,10,296,13,pune
2022-04-15 12:00:00,40,23,0.0,11.6,8,94,05:39 PM,05:18 AM,06:18 AM,06:51 PM,7,40,40,40,24,3,13,0.0,1008,40,10,308,21,pune
2022-04-15 15:00:00,40,23,0.0,11.6,8,94,05:39 PM,05:18 AM,06:18 AM,06:51 PM,10,40,40,40,27,4,17,0.0,1006,40,10,304,23,pune
2022-04-15 18:00:00,40,23,0.0,11.6,8,94,05:39 PM,05:18 AM,06:18 AM,06:51 PM,10,33,33,34,24,2,22,0.0,1006,34,10,300,21,pune
2022-04-15 21:00:00,40,23,0.0,11.6,8,94,05:39 PM,05:18 AM,06:18 AM,06:51 PM,10,27,27,28,22,0,32,0.0,1009,28,10,268,12,pune
2022-04-16 00:00:00,40,21,0.0,11.6,8,100,06:35 PM,05:56 AM,06:17 AM,06:52 PM,11,25,25,24,21,0,42,0.0,1008,24,10,269,11,pune
2022-04-16 03:00:00,40,21,0.0,11.6,8,100,06:35 PM,05:56 AM,06:17 AM,06:52 PM,15,21,24,21,18,0,66,0.0,1008,21,10,251,10,pune
2022-04-16 06:00:00,40,21,0.0,11.6,8,100,06:35 PM,05:56 AM,06:17 AM,06:52 PM,16,21,21,21,18,0,73,0.0,1009,21,10,255,10,pune
2022-04-16 09:00:00,40,21,0.0,11.6,8,100,06:35 PM,05:56 AM,06:17 AM,06:52 PM,9,28,28,30,12,0,27,0.0,1010,30,10,303,10,pune
2022-04-16 12:00:00,40,21,0.0,11.6,8,100,06:35 PM,05:56 AM,06:17 AM,06:52 PM,7,39,39,39,16,0,14,0.0,1007,39,10,312,14,pune
2022-04-16 15:00:00,40,21,0.0,11.6,8,100,06:35 PM,05:56 AM,06:17 AM,06:52 PM,8,40,40,40,25,2,15,0.0,1004,40,10,310,22,pune
2022-04-16 18:00:00,40,21,0.0,11.6,8,100,06:35 PM,05:56 AM,06:17 AM,06:52 PM,12,33,33,34,30,2,26,0.0,1005,34,10,307,26,pune
2022-04-16 21:00:00,40,21,0.0,11.6,8,100,06:35 PM,05:56 AM,06:17 AM,06:52 PM,14,28,28,28,17,0,43,0.0,1008,28,10,279,12,pune
2022-04-17 00:00:00,41,23,0.0,11.6,8,93,07:35 PM,06:36 AM,06:16 AM,06:52 PM,17,26,26,25,12,0,59,0.0,1007,25,10,274,8,pune
2022-04-17 03:00:00,41,23,0.0,11.6,8,93,07:35 PM,06:36 AM,06:16 AM,06:52 PM,16,25,25,23,19,0,63,0.0,1006,23,10,263,10,pune
2022-04-17 06:00:00,41,23,0.0,11.6,8,93,07:35 PM,06:36 AM,06:16 AM,06:52 PM,15,25,25,23,20,0,62,0.0,1008,23,10,273,10,pune
2022-04-17 09:00:00,41,23,0.0,11.6,8,93,07:35 PM,06:36 AM,06:16 AM,06:52 PM,8,29,29,31,8,0,25,0.0,1010,31,10,303,7,pune
2022-04-17 12:00:00,41,23,0.0,11.6,8,93,07:35 PM,06:36 AM,06:16 AM,06:52 PM,6,40,40,40,11,0,13,0.0,1007,40,10,5,9,pune
2022-04-17 15:00:00,41,23,0.0,11.6,8,93,07:35 PM,06:36 AM,06:16 AM,06:52 PM,4,42,42,41,9,0,10,0.0,1004,41,10,312,8,pune
2022-04-17 18:00:00,41,23,0.0,11.6,8,93,07:35 PM,06:36 AM,06:16 AM,06:52 PM,15,33,33,33,27,0,35,0.0,1005,33,10,281,24,pune
2022-04-17 21:00:00,41,23,0.0,11.6,8,93,07:35 PM,06:36 AM,06:16 AM,06:52 PM,16,28,28,27,17,0,51,0.0,1009,27,10,261,14,pune
2022-04-18 00:00:00,41,22,0.0,11.6,8,86,08:37 PM,07:20 AM,06:16 AM,06:52 PM,15,26,26,25,19,0,55,0.0,1009,25,10,274,12,pune
2022-04-18 03:00:00,41,22,0.0,11.6,8,86,08:37 PM,07:20 AM,06:16 AM,06:52 PM,14,25,25,23,19,0,56,0.0,1008,23,10,259,10,pune
