date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-02-01 00:00:00,9,-4,0.1,10.7,1,1,07:47 AM,06:06 PM,07:28 AM,06:01 PM,-5,-2,-2,-2,2,72,79,0.1,1017,-2,10,314,1,srinagar
2022-02-01 03:00:00,9,-4,0.1,10.7,1,1,07:47 AM,06:06 PM,07:28 AM,06:01 PM,-6,-3,-3,-3,1,76,80,0.1,1018,-3,7,273,1,srinagar
2022-02-01 06:00:00,9,-4,0.1,10.7,1,1,07:47 AM,06:06 PM,07:28 AM,06:01 PM,-8,-4,-4,-4,5,19,74,0.0,1019,-4,10,19,3,srinagar
2022-02-01 09:00:00,9,-4,0.1,10.7,1,1,07:47 AM,06:06 PM,07:28 AM,06:01 PM,-3,3,3,3,3,15,65,0.0,1019,3,10,273,3,srinagar
2022-02-01 12:00:00,9,-4,0.1,10.7,1,1,07:47 AM,06:06 PM,07:28 AM,06:01 PM,0,7,7,7,2,7,60,0.0,1017,7,10,310,2,srinagar
2022-02-01 15:00:00,9,-4,0.1,10.7,1,1,07:47 AM,06:06 PM,07:28 AM,06:01 PM,-1,9,9,9,6,6,50,0.0,1013,9,10,256,5,srinagar
2022-02-01 18:00:00,9,-4,0.1,10.7,1,1,07:47 AM,06:06 PM,07:28 AM,06:01 PM,-5,2,2,2,1,6,61,0.0,1014,2,10,96,1,srinagar
2022-02-01 21:00:00,9,-4,0.1,10.7,1,1,07:47 AM,06:06 PM,07:28 AM,06:01 PM,-11,-4,-1,-4,14,7,48,0.0,1019,-1,10,51,6,srinagar
2022-02-02 00:00:00,7,-5,0.0,8.5,2,6,08:29 AM,07:18 PM,07:28 AM,06:02 PM,-11,-6,-3,-6,15,3,53,0.0,1020,-3,10,33,7,srinagar
2022-02-02 03:00:00,7,-5,0.0,8.5,2,6,08:29 AM,07:18 PM,07:28 AM,06:02 PM,-12,-7,-4,-7,13,3,56,0.0,1020,-4,10,20,6,srinagar
2022-02-02 06:00:00,7,-5,0.0,8.5,2,6,08:29 AM,07:18 PM,07:28 AM,06:02 PM,-12,-7,-5,-7,11,8,57,0.0,1021,-5,10,21,5,srinagar
2022-02-02 09:00:00,7,-5,0.0,8.5,2,6,08:29 AM,07:18 PM,07:28 AM,06:02 PM,-8,2,2,2,3,12,46,0.0,1020,2,10,330,3,srinagar
2022-02-02 12:00:00,7,-5,0.0,8.5,2,6,08:29 AM,07:18 PM,07:28 AM,06:02 PM,-7,6,6,6,2,84,38,0.0,1016,6,10,263,1,srinagar
2022-02-02 15:00:00,7,-5,0.0,8.5,2,6,08:29 AM,07:18 PM,07:28 AM,06:02 PM,-5,6,7,6,5,49,44,0.0,1013,7,10,22,5,srinagar
2022-02-02 18:00:00,7,-5,0.0,8.5,2,6,08:29 AM,07:18 PM,07:28 AM,06:02 PM,-7,1,1,1,6,89,57,0.0,1014,1,10,331,3,srinagar
2022-02-02 21:00:00,7,-5,0.0,8.5,2,6,08:29 AM,07:18 PM,07:28 AM,06:02 PM,-4,-3,-1,-3,9,100,80,0.2,1017,-1,9,354,5,srinagar
2022-02-03 00:00:00,4,-4,1.8,6.9,1,13,09:06 AM,08:25 PM,07:27 AM,06:03 PM,-4,-5,-3,-5,7,100,97,0.7,1017,-3,2,316,4,srinagar
2022-02-03 03:00:00,4,-4,1.8,6.9,1,13,09:06 AM,08:25 PM,07:27 AM,06:03 PM,-4,-4,-3,-4,6,100,99,0.8,1016,-3,2,294,3,srinagar
2022-02-03 06:00:00,4,-4,1.8,6.9,1,13,09:06 AM,08:25 PM,07:27 AM,06:03 PM,-4,-5,-4,-5,8,100,97,0.2,1016,-4,5,289,4,srinagar
2022-02-03 09:00:00,4,-4,1.8,6.9,1,13,09:06 AM,08:25 PM,07:27 AM,06:03 PM,1,1,1,1,4,100,99,0.3,1015,1,2,278,3,srinagar
2022-02-03 12:00:00,4,-4,1.8,6.9,1,13,09:06 AM,08:25 PM,07:27 AM,06:03 PM,2,3,3,3,3,100,97,0.1,1013,3,10,177,2,srinagar
2022-02-03 15:00:00,4,-4,1.8,6.9,1,13,09:06 AM,08:25 PM,07:27 AM,06:03 PM,2,3,4,3,5,60,88,0.0,1010,4,10,168,4,srinagar
2022-02-03 18:00:00,4,-4,1.8,6.9,1,13,09:06 AM,08:25 PM,07:27 AM,06:03 PM,-2,-2,-1,-2,6,47,91,0.0,1011,-1,10,138,3,srinagar
2022-02-03 21:00:00,4,-4,1.8,6.9,1,13,09:06 AM,08:25 PM,07:27 AM,06:03 PM,-3,-1,-1,-1,5,48,85,0.0,1013,-1,10,344,3,srinagar
2022-02-04 00:00:00,7,-4,0.0,10.8,2,20,09:37 AM,09:30 PM,07:26 AM,06:04 PM,-4,-3,-1,-3,8,36,83,0.0,1011,-1,10,334,4,srinagar
2022-02-04 03:00:00,7,-4,0.0,10.8,2,20,09:37 AM,09:30 PM,07:26 AM,06:04 PM,-5,-2,-2,-2,3,80,85,0.0,1011,-2,10,66,1,srinagar
2022-02-04 06:00:00,7,-4,0.0,10.8,2,20,09:37 AM,09:30 PM,07:26 AM,06:04 PM,-6,-4,-4,-4,6,45,85,0.0,1012,-4,10,27,3,srinagar
2022-02-04 09:00:00,7,-4,0.0,10.8,2,20,09:37 AM,09:30 PM,07:26 AM,06:04 PM,-2,1,2,1,5,18,77,0.0,1013,2,10,306,5,srinagar
2022-02-04 12:00:00,7,-4,0.0,10.8,2,20,09:37 AM,09:30 PM,07:26 AM,06:04 PM,0,4,5,4,5,11,70,0.0,1012,5,10,261,5,srinagar
2022-02-04 15:00:00,7,-4,0.0,10.8,2,20,09:37 AM,09:30 PM,07:26 AM,06:04 PM,0,7,7,7,5,7,60,0.0,1010,7,10,196,4,srinagar
2022-02-04 18:00:00,7,-4,0.0,10.8,2,20,09:37 AM,09:30 PM,07:26 AM,06:04 PM,-2,3,3,3,3,7,72,0.0,1012,3,10,117,2,srinagar
2022-02-04 21:00:00,7,-4,0.0,10.8,2,20,09:37 AM,09:30 PM,07:26 AM,06:04 PM,-8,-5,-3,-5,10,18,66,0.0,1017,-3,10,53,5,srinagar
2022-02-05 00:00:00,9,-6,0.0,10.8,2,26,10:05 AM,10:31 PM,07:25 AM,06:05 PM,-11,-6,-4,-6,8,19,61,0.0,1019,-4,10,14,4,srinagar
2022-02-05 03:00:00,9,-6,0.0,10.8,2,26,10:05 AM,10:31 PM,07:25 AM,06:05 PM,-12,-8,-5,-8,10,13,61,0.0,1020,-5,10,7,5,srinagar
2022-02-05 06:00:00,9,-6,0.0,10.8,2,26,10:05 AM,10:31 PM,07:25 AM,06:05 PM,-13,-8,-6,-8,10,6,59,0.0,1021,-6,10,16,5,srinagar
2022-02-05 09:00:00,9,-6,0.0,10.8,2,26,10:05 AM,10:31 PM,07:25 AM,06:05 PM,-10,-0,1,-0,4,2,44,0.0,1022,1,10,322,4,srinagar
2022-02-05 12:00:00,9,-6,0.0,10.8,2,26,10:05 AM,10:31 PM,07:25 AM,06:05 PM,-7,7,7,7,4,0,38,0.0,1019,7,10,289,4,srinagar
2022-02-05 15:00:00,9,-6,0.0,10.8,2,26,10:05 AM,10:31 PM,07:25 AM,06:05 PM,-5,9,9,9,4,0,36,0.0,1015,9,10,249,3,srinagar
2022-02-05 18:00:00,9,-6,0.0,10.8,2,26,10:05 AM,10:31 PM,07:25 AM,06:05 PM,-8,1,1,1,5,0,50,0.0,1019,1,10,39,3,srinagar
2022-02-05 21:00:00,9,-6,0.0,10.8,2,26,10:05 AM,10:31 PM,07:25 AM,06:05 PM,-12,-6,-3,-6,13,0,51,0.0,1023,-3,10,52,6,srinagar
2022-02-06 00:00:00,9,-3,0.0,10.1,2,33,10:33 AM,11:31 PM,07:25 AM,06:06 PM,-11,-4,-3,-4,7,15,54,0.0,1024,-3,10,2,3,srinagar
2022-02-06 03:00:00,9,-3,0.0,10.1,2,33,10:33 AM,11:31 PM,07:25 AM,06:06 PM,-10,-3,-3,-3,2,100,58,0.0,1024,-3,10,9,1,srinagar
2022-02-06 06:00:00,9,-3,0.0,10.1,2,33,10:33 AM,11:31 PM,07:25 AM,06:06 PM,-10,-3,-3,-3,2,47,61,0.0,1023,-3,10,269,1,srinagar
